Item_Category,Item_Class_ID,Item_Class_Name,Item_ID,Item_Name
HEDELMÄT,A-HED01,SITRUKSET,86851856,APPELSIINI
HEDELMÄT,A-HED01,SITRUKSET,72713852,SITRUUNA
HEDELMÄT,A-HED01,SITRUKSET,40812828,LIME
HEDELMÄT,A-HED02,MARJAT,82928456,MANSIKKA
HEDELMÄT,A-HED02,MARJAT,84874866,MUSTIKKA
HEDELMÄT,A-HED03,TROOPPISET HEDELMÄT,40074101,ANANAS
HEDELMÄT,A-HED03,TROOPPISET HEDELMÄT,11380753,MANGO
HEDELMÄT,A-HED03,TROOPPISET HEDELMÄT,46951210,KIIVI
HEDELMÄT,A-HED04,OMENAT,32142806,GALA-ÖPPLE
HEDELMÄT,A-HED04,OMENAT,91623549,GRANNY SMITH -OMENA
VIHANNEKSET,A-VIH01,JUUREKSET,87775026,PORKKANA
VIHANNEKSET,A-VIH01,JUUREKSET,95960536,LANTTU
VIHANNEKSET,A-VIH01,JUUREKSET,84603879,PALSTERNAKKA
VIHANNEKSET,A-VIH02,LEHTIVIHANNEKSET,11134107,JÄÄSALAATTI
VIHANNEKSET,A-VIH02,LEHTIVIHANNEKSET,56577711,PUNASALAATTI
VIHANNEKSET,A-VIH02,LEHTIVIHANNEKSET,70022021,RUCOLA
LIHA,A-LIA01,NAUDAN LIHA,30781595,PAAHTOPAISTI
LIHA,A-LIA01,NAUDAN LIHA,14072716,KULMAFILEE
LIHA,A-LIA01,NAUDAN LIHA,61344917,JAUHELIHA
LIHA,A-LIA02,SIAN LIHA,87933108,KASSLER
LIHA,A-LIA02,SIAN LIHA,73160948,KINKKU
LIHA,A-LIA02,SIAN LIHA,11186587,NAKKI
LIHA,A-LIA03,BROILERIN LIHA,79264271,BROILERIN RINTAFILEE
LIHA,A-LIA03,BROILERIN LIHA,33958130,KANAN SISÄFILEE
LIHA,A-LIA03,BROILERIN LIHA,47096577,BROILERIN KOIPIREISI
LIHA,A-LIA04,LAMPAAN LIHA,13876333,LAMPAAN POTKA
KALA,A-KAL01,MAKEAN VEDEN KALAT,23411384,LOHI
KALA,A-KAL01,MAKEAN VEDEN KALAT,55693956,KUHA
KALA,A-KAL01,MAKEAN VEDEN KALAT,44748830,SIKA
KALA,A-KAL02,MEREN ANKERIAAT,33061999,MERIANKERIAS
KALA,A-KAL02,MEREN ANKERIAAT,71334678,KONGERI
KALA,A-KAL02,MEREN ANKERIAAT,87433629,MERISIILI
KALA,A-KAL03,MAKRAALIT JA SARDIINIT,96041349,MAKRAALI
KALA,A-KAL03,MAKRAALIT JA SARDIINIT,21672371,SARDIINI
KALA,A-KAL03,MAKRAALIT JA SARDIINIT,94806810,ANSIOVIS
KALA,A-KAL04,RAVUT JA ÄYRIÄISET,61532110,JOULUKATKARAPU
